amenity	name	operator	addr:housenumber	addr:neighbourhood	addr:place	tourism	brand	layer	ref:mise	wheelchair	name:ru	alt_name	religion	wikidata	addr:postcode	ethnicity	museum	name:hu	opening_hours	phone	denomination	cuisine	diet:kosher	addr:city	addr:street	email	website	wikipedia	atm	shop	name:en	contact:housenumber	contact:street	fax	internet_access	rooms	stars	takeaway	toilets	ferry	public_transport	cargo	description:en	dispensing	toilets:wheelchair	name:it	source	url	short_name	note	ref:vatin	restaurant:type:it	authorization	addr:country	internet_access:fee	name:es	name:zh	start_date	name:de	FIXME	loc_name	description	image	maintenance	source:pkey	wetap:credit	wetap:photo	wetap:status	contact:phone	organic	contact:facebook	contact:skype	smoking	is_in	outdoor_seating	fixme	fuel:lpg	wifi	contact:twitter	capacity	diet:gluten_free	name:ko	contact:email	artwork_type	name:be	name:nl	name:pl	name:pt	name:ro	name:sh	name:sr	name:uk	local_name	historic	entrance	building	source:name	addr:hamlet	delivery	ref:enel:code	ref:enel:serial_number	name:fr	salt	brand:wikidata	brand:wikipedia	ele	operator:wikidata	operator:wikipedia	books	second_hand	payment:bitcoin	payment:litecoin	tourism_1	barrier	croissant:type	price	microbrewery	tourism_2	description:hu	name:ja	addr:province	addr:housename	country	diplomatic	other	old_name	line	contact:website	vending	diet:vegan	diet:vegetarian	information	level	opening_hours:signed	note:it	breakfast	breakfast:buffet	swimming_pool	bus	description:de	highway	contact:fax	contact:neighbourhood	clothes	internet_access:ssid	faculty	contact:city	contact:postcode	addr:conscriptionnumber	canoe_rental	kayak_rental	artist_name	material	addr:unit	payment:american_express	payment:cash	payment:credit_cards	payment:debit_cards	payment:maestro	payment:mastercard	payment:visa	payment:visa_debit	payment:visa_electron	emergency	shop_1	access	capacity:disabled	fee	lit	park_ride	parking	smoothness	surface	addr:number	boat:parts	name:cs	facebook	isced:level	operator:type	addr:suburb	guest_house
	Cavalli di San Marco					artwork								Q1994701														it:Cavalli di San Marco																																																																																																																																																									
	Museo Correr					museum				yes	Музей Карэр			Q1470912					10:00-19:00; Nov-Mar 10:00-17:00									it:Museo Correr																																																																																																																																																									
	Museo archeologico nazionale		17/52			museum								Q16580545	30124			Velencei Nemzeti Régészeti Múzeum	Mo-Su 10:00-17:00	+39 041 2967663				Venezia	Piazza San Marco	pm-ven.archeologico@beniculturali.it	https://polomusealeveneto.beniculturali.it/musei/museo-archeologico-nazionale-di-venezia	it:Museo archeologico nazionale di Venezia			Venice National Archaeological Museum																									Museo Arqueológico Nacional de Venecia																																														Musée archéologique national de Venise																																																																															
police	Guardia di Finanza Comando Regionale del Veneto																																																																																																																																																																																				
	Ca'Riccio		5394a	Cannaregio	Cannaregio	hotel																																																																																																																																																																															
restaurant	Osteria alle Testiere		5801	Castello	Castello														Tu-Sa 12:00-15:00, 19:00-23:00																																																																																																																																																																		
restaurant	Osteria Ai 4 Feri																																																																																																																																																																																				
restaurant	Al Bacco Felice																								Santa Croce 197\e																																																																																																																																																												
restaurant	Majer Giudecca		461												30133				07:00-22:00			regional		Venezia	La Palanca Fondamenta Sant´Eufemia													yes																																			no							40																																																																																																					
restaurant	Al Paradiso		767																						Calle del Paradisio																																																																																																																																																												
bar	Osteria i Rusteghi		5513	San Marco	San Marco																																																																																																																																																																																
	Hotel San Samuele		3358			hotel																			salizada San samuele, san Marco 3358																																																																																																																																																												
	Ottica Carraro																													optician																																																																																																																																																							
restaurant	Ai Gondolieri		30123 Venezia																	+39 041 5286396		italian			Dorsoduro 366	info@aigondolieri.it	http://www.aigondolieri.it/																																																																																																																																																										
	Vladi Shoes																			+39 041 5222831						info@vladishoes.it	https://www.vladishoes.it/			shoes																																																																																																																																																							
bar	Al Squero																										https://osteriaalsquero.wordpress.com/				Osteria Al Squero																																																																																																																																																						
	Museo della Musica		2603		San Marco	museum												Zenetörténeti Múzeum									http://museodellamusica.com																														音乐博物馆																																																																																																																												
restaurant	Osteria da Carla		1535																																																																																																																																																																																		
fast_food	We❤Italy		5529									We Love Italy							Mo-Su 11:00-20:30	+39 041 2410919					Calle de l'Orso										wlan																																																																																																																																																		
	Albergo Ateneo		1876			hotel																			Calle Minelli																																																																																																																																																												
restaurant	Pizzeria La Perla		4615												30121					+39 041 5285175		italian		Venezia	Rio terà dei Franceschi		http://www.laperlavenezia.com/																																																																																																																																																										
restaurant	Osteria San Marco																								Calle Frezzaria																																																																																																																																																												
restaurant	Antico Gatoleto		6055	Cannaregio	Cannaregio																	pasta;regional;italian;pizza													wlan																																																																																																																																																		
cafe	Bar de Maravegie																					italian;pizza;italian_pizza;cake;local;coffee_shop																																																																																																																																																															
restaurant	Ormesini Dodo Caffe		2845	Cannaregio	Cannaregio																				Fondamenta degli Ormesini																																																																																																																																																												
	Hotel Montecarlo		464	San Marco	San Marco	hotel																																																																																																																																																																															
	Ostello Domus Civica					hotel														+39 041 721103					Calle de le Sechere																																																																																																																																																												
restaurant	Ogio		4858	Cannaregio																					Campo dei Gesuiti																																																																																																																																																												
restaurant	Osteria Al Mascaron		5225	Castello	Castello															+39 041 522 5995							http://osteriamascaron.it				Osteria al mascaron																																																																																																																																																						
restaurant	Cà D'Oro alla Vedova		3912	Cannaregio																					Calle del Pistor																																																																																																																																																												
restaurant	La bottega ai promessi sposi		4367	Cannaregio																+39 041 241747					Calle de l'Oca																																																																																																																																																												
restaurant	Pizzeria Trattoria Casa Mia		4430	Cannaregio																+39 041 5285590		italian_pizza			Calle de l'Oca																																																																																																																																																												
restaurant	Osteria da Rioba		2553							no										+39 041 5244379		italian;seafood;regional		Venice	Venezia Fondamenta Della Misericordia	info@darobia.com	www.darobia.com																																																yes																																																																																																										
restaurant	Vinaria		1097																																																																																																																																																																																		
cafe	Caffee Filermo		2208	Cannaregio	Cannaregio					limited					30100					30100																																																																																																																																																																	
cafe	Cantina Vecia Carbonera		Canneregio 2329	Cannaregio	Cannaregio					yes																																																				Tapas Style Food																																																																																																																							
ice_cream	SuSo		5453a	San Marco	San Marco															+39 348 564 6545							http://suso.gelatoteca.it/																																																																																																							yes	yes																																																		
cafe	Tea Room Beatrice																			+39 347 401 6725		teahouse					https://fujiyama.life/																																																																																																																																																										
fast_food	Pasta&Sugo		2839												30123				Mo-Su 11:00-21:00	+39 041 520 1191		pasta			Dorsoduro		http://pastaesugo.it											yes																																																																																													yes																																																		
	Pasticceria																													bakery																																																																																																																																																							
ice_cream	Venchi	Venchi								yes																				chocolate																																																																																																																																																							
ferry_terminal	"Accademia ""B"""																																							yes	station																																																																																																																																												
ferry_terminal	"Ferrovia ""A"""	ACTV								yes																														yes	stop_position																																																																																																																																												
ferry_terminal	Palanca	ACTV																																																																																																																																																																																			
ferry_terminal	"Piazzale Roma Santa Chiara ""F"""	ACTV								yes																																																																																																																																																																											
ferry_terminal	Spirito Santo																																																																																																																																																																																				
ferry_terminal	Arsenale																																																																																																																																																																																				
ferry_terminal	"San Zaccaria - (Jolanda) ""C"""	ACTV																																																																																																																																																																																			
ferry_terminal	B																																																																																																																																																																																				
ferry_terminal	"Piazzale Roma Parisi ""D"""									yes																																																																																																																																																																											
ferry_terminal	"Piazzale Roma Scomenzera ""C"""									yes																																																																																																																																																																											
ferry_terminal	Rialto D																																																																																																																																																																																				
ferry_terminal	San Tomà									limited																																																																																																																																																																											
ice_cream	GROM	GROM								no																																																																																																																																																																											
ferry_terminal	"Ferrovia ""C"""	ACTV																																																																																																																																																																																			
ferry_terminal	Molino Stucky	ACTV																																																																																																																																																																																			
	Azienda di Promozione Turistica					information																																																																																																																														office																																																	
restaurant	Al Covo																			+39 041 5223812							https://ristorantealcovo.com																																																																																																																																																										
	Enoteca Boldrin		5550	Cannaregio	Cannaregio																									wine																																																																																																																																																							
	Hotel Ca'Formenta					hotel																																																																																																																																																																															
	CAD Belezza & Igiene		6374	Castello	Castello																									perfumery																																																																																																																																																							
restaurant	Osteria da Nico		6331	Castello	Castello																																																																																																																																																																																
ice_cream	Gelateria Igloo		6381b	Cannaregio	Cannaregio																																																																																																																																																																																
bar	Ai DiVini		5905	Cannaregio	Cannaregio																																																																																																																																																																																
restaurant	Trattoria Tre Spiedi		5906a	Cannaregio	Cannaregio																																																																																																																																																																																
fast_food	Marmi's		6381a	Cannaregio	Cannaregio																																																																																																																																																																																
restaurant	duhi																					italian;seafood									La Serenissima				wlan											La Serenissima																																																																																																																																							
	Vino e... Vini					wine_cellar																																																																																																																																																																															
	Pasticceria dal Conte		6403	Castello	Castello																									bakery																																																																																																																																																							
restaurant	Osteria Ai do Archi		6359	Castello	Castello																																																																																																																																																																																
	Ottico della Barbaria		6368	Castello	Castello																									optician																																																																																																																																																							
restaurant	Osteria Ai do Gobbi		6369	Cannaregio	Cannaregio																																																																																																																																																																																
	Antichitâ Lachin		6216a	Cannaregio	Cannaregio																									antiques																																																																																																																																																							
	Dolceamaro		6051	Cannaregio	Cannaregio																									chocolate;wine																																																																																																																																																							
bar	Un Mondo di Vino		5984a	Cannaregio	Cannaregio															+39 041 5211093										wine																																																																																																																																																							
fast_food	Snack Bar Royal																																																																																																																																																																																				
	Clarks		5585	Cannaregio	Cannaregio					no																				shoes																																																																																																																																																							
	Temporary Outlet		5601	Cannaregio	Cannaregio																									clothes																																																																																																																																																							
bar	Zenevia		5548	Cannaregio	Cannaregio																																																																																																																																																																																
	Punto Casa																													convenience																																																																																																																																																							
	A. Baldan		3402	Castello	Castello																									florist																																																																																																																																																							
	Profumeria Mimosa		3320	Castello	Castello																									perfumery																																																																																																																																																							
bureau_de_change	Fore Change		5313	San Marco	San Marco																																																																																																																																																																																
pub	Snack Bar Nostro		5397	San Marco	San Marco																																																																																																																																																																																
	Promod		5378	San Marco	San Marco					no																				clothes																																																																																																																																																							
	Luisa Spagnoli		5534	San Marco	San Marco					limited																				clothes																																																																																																																																																							
	Acqua dell'Elba		5383a	San Marco	San Marco																									perfumery																																																																																																																																																							
	Intimissimi																													clothes																																																																																																																																																							
cafe	Nino & Friends																																																																																																																																																																																				
pub	Edy Bar		680	San Marco	San Marco																																																																																																																																																																																
restaurant	Al Gabbiano																																																																																																																																																																																				
restaurant	Ristorante Nanchino																																																																																																																																																																																				
restaurant	Alla Bandiera																																																																																																																																																																																				
	Stefanel		5395	San Marco	San Marco																									clothes																																																																																																																																																							
bank	Friuladria		5281	San Marco	San Marco																																																																																																																																																																																
pharmacy	Farmacia Morelli		5310	San Marco	San Marco							Farmacia alla Madonna																																yes																																																																																																																																									
cafe	Caffé Rialto		5309	San Marco	San Marco																																																																																																																																																																																
restaurant	Taverna San Lio																																																																																																																																																																																				
fast_food	Crazy Pizza		5544												30122										Salizada San Lio																																																																																																																																																												
restaurant	Cometa																																																																																																																																																																																				
restaurant	Barbanera																																																																																																																																																																																				
restaurant	Ristorante Pizzeria Centrale		425	San Marco	San Marco																	italian;pizza																																																																																																																																																															
restaurant	Ristorante Ai Speci																																																	Hotel Panada																																																																																																																																			
restaurant	Trattoria Canonica		340	San Marco	San Marco																	italian																																																																																																																																																															
	Libreria Studium		337a	San Marco	San Marco																			Venezia	Calle de la Canonica	info@liebreriastudium.eu				books																																																																																																							0																																																
restaurant	Conca d'Oro									limited																																																																																																																																																																											
restaurant	Osteria da Baco		4620	Castello	Castello																																																																																																																																																																																
restaurant	Tratattoria da Nino		4668	Castello	Castello																	italian																																																																																																																																																															
restaurant	Trattoria San Zulian		523	San Marco	San Marco																																																																																																																																																																																
fast_food	Cavatappi		525	San Marco	San Marco																																																																																																																																																																																
	Hotel Sgallo					hotel																																																																																																																																																																															
	Hotel Becher					hotel																																																																																																																																																																															
	Ca' San Rocco					hotel																													wlan																																																																																																																																																		
restaurant	Ristorante Povoledo		122	Cannaregio	Cannaregio					no												italian					www.trattoriapovoledo.com								wlan																																																																																																																																																		
pub	The Irish Pub	Andro 77 snc	3847		Cannaregio														Mo-Su 10:00-02:00					Venezia											yes																				yes																				yes																																																																																																										
	LUSH																													cosmetics																																																																																																																																																							
cafe	La Boutique del Gelato		5272																Mo-Su 10:30-22:00			ice_cream			Salizada San Lio																																																																																																																																																												
restaurant	Al Faro									yes																									wlan				yes																customers																				yes																																																																																																										
restaurant	Osteria Bea Vita																		Mo-Sa 09:30-23:30	+39 041 275 9347		italian				osteriabeavita@libero.it																																																																																																																																																											
pub	Mezzopieno																																																																																																																																																																																				
	Panificio Volpe Giovanni																													bakery																																							+39 041 715178																																																																																																																
	Hotel Marconi		729	San Polo		hotel									30125					+39 041 5222068				Venezia		info@hotelmarconi.it	https://www.hotelmarconi.it/							+39 041 5229700			3																	IT																																																																																																																															
restaurant	Ostaria Al Vecio Pozzo		656							yes					30135				Su-Fr 12:00-14:30, Mo-Su 18:30-01:00			pizza;italian;regional		Venezia	Corte Canal																																																																																																																																																												
restaurant	Osteria San Barnaba																																																																																																																																																																																				
pub	Ai Artisti																			0415238944					Campo San Barnaba																																																																																																																																																												
	Foleta																													bakery																																																																																																																																																							
bar	Bar Collo																																																																								outside		yes																																																																																																										
	Galleria					hotel																																																																																																																																																																															
restaurant	La Feluca																																																																																																																																																																																				
	H&M																													clothes																																																																																																																																																							
	Marchini Time																													bakery																																																																																																																																																							
pub	Bacareto da Lele		183																Mo-Su 06:00-00:00					Venezia	Santa Croce																					Перекус Bacareto da Lele																											outside																																																																																																												
fast_food	Bonchef									no																																																																																																																																																																											
cafe	Teamo																																																																																																																																																																																				
pharmacy	Farmacia Italo Inglese																																																																																																																																																																																				
bar	Black-Jack		4267																						Di Martín Maurizio																																																																																																																																																												
	K.Way																													clothes																																																																																																																																																							
	Doppelgänger																													clothes																																																																																																																																																							
restaurant	Pane Vino e San Daniele																																																																																																																																																																																				
restaurant	La Rivetta									limited																																																																																																																																																																											
restaurant	Orient Express									yes												chinese																																																																																																																																																															
	Melori & Rosenberg					gallery																																																																																																																																no																																															
	Karisma									no																				stationery																																																																																																																																																							
fast_food	Pasticceria Rizzardini		1411-1412							yes									Mo-Su 09:30-20:00						Campiello dei Meloni					bakery	Acqua&Mais																																																																																																																																																						
fast_food	A le Bande																																																																																																																																																																																				
restaurant	Trattoria La Fenice																																																																																																																																																																																				
	Istituto Veneto di Scienze Lettere ed Arti					museum																																																																																																																																																																															
fast_food	Ristorante Rosa Rossa																					italian;pizza;italian_pizza;pasta																																																																																																																																																															
bank	Banco San Marco		4233B	San Marco																																																																																																																																																																																	
	Geox																													shoes																																																																																																																																																							
	Gas																													clothes																																																																																																																																																							
	Solaris		4815	San Marco	San Marco																									optician																																																																																																																																																							
	Dal Mas		149/B	Cannaregio	Cannaregio					no					30121				Mo-Su 07:00-21:30	+39041715101						pasticceriadorz@gmail.com	http://www.damaspasticceria.it			confectionery																																																																																																																																																							
bank	Unicredit Banca									no																			yes																																																																																																																																																								
	Libreria Bertoni		3637/B																						San Marco		http://www.bertonlibri.com			books																																																																																																																																																							
restaurant	Trattoria San Toma'									no																																																																																																																																																																											
restaurant	Al Campanile									yes												pizza																																																																																																																																																															
	Levi's																													clothes																																																																																																																																																							
restaurant	Vini da Pinto																																																																																																																																																																																				
restaurant	Pane Vino e San Daniele																																																																																																																																																																																				
fast_food	Pizza 2000																																																																																																																																																																																				
restaurant	Trattoria alla Ferrata		1103																	+3665400490		italian;italian_pizza;cake;seafood;pasta;pizza;regional;fish			Calle Larga dei Bari										wlan																																																																																																																																																		
restaurant	Marciana									yes									Mo-Sa 12:00-15:00,18:30-23:00																																																																																																																																																																		
restaurant	Pedrocchi									limited																																																																																																																																																																											
pub	Tortuga																																																																																																																																																																																				
restaurant	Ristorante Pizzeria Da Alvise		5045c	Cannaregio	Cannaregio																	italian;pizza					https://www.ristorantedaalvise.it/																																																																																																																																																										
restaurant	Cip's Club Restaurant																																																																																																																																																																																				
	Hotel Bauer Palladio					hotel														+39 041 5207022						info@bauervenezia.it	https://www.palladiohotelspa.com										5																																																																																																																																																
restaurant	I Figli delle Stelle																																																																																																																																																																																				
pub	Bar da Monica	Monica	78/79																	+390415228753					Fondamenta Zitelle										wlan																																																																																																																																																		
bar	In Riva																																																																																																																																																																																				
	Al Storico da Crea					information																																																																																																																														board			Cartello con indicazioni per l'accesso al ristorante																																														
restaurant	La Palanca																																																																																																																																																																																				
restaurant	Trattoria Do Mori																																																																																																																																																																																				
restaurant	Food & Art		487B																						Campo Junghans																																																																																																																																																												
	Lavomatic Self-Service																													laundry																																																																																																																																																							
restaurant	Ostaria ae Botti																																																																																																																																																																																				
	Hotel Al Ponte dei Sospiri		381	San Marco	San Marco	hotel																															3																																																																																																																																																
cafe	Beccafico Café																																																																																																																																																																																				
fast_food	La Bella Pollastrella																																																																																																																																																																																				
restaurant	Alla Corte																																																																																																																																																																																				
restaurant	Pizza al Volo		2944							no					30123				11:00-02:00						Dorsoduro										no			yes	no																																				no																																																																																																										
restaurant	Pizzería L'angelo		3711																						Calle de le Mandola																																																																																																																																																												
restaurant	Arte del la Pizza		1853	Cannaregio	Cannaregio																																																																																																																																																																																
restaurant	Al Giardinetto da Severino		4928	Castello	Castello										30122																																																																																																																																																																						
restaurant	Piatti Tipici Veneziani		5410	Castello	Castello																	italian																																																																																																																																																															
	Prosciutto E parmigiano		5793a	Castello	Castello																									butcher																																																																																																																																																							
	Cà del Tentor					hotel																																																																						posizione																																																																																																									
	Guesthouse					guest_house																																																																																																																																																																															
	residenza la loggia		1008	San Marco	San Marco	hotel																																																																																																																																																																															
restaurant	Ristorante Trovatore		4535	Castello	Castello																										Trovatore Restaurant																																																																																																																																																						
	Hotel Canaletto		5487			hotel									30122					+39 041 522 0518				Venezia	Calle de la Malvasia		http://www.hotelcanaletto.com								wlan																				no																																																																																																																														
ferry_terminal	San Basilio																																																																																																																																																																																				
	Best Western Hotel Olimpia		Santa Croce 395			hotel									30135					+39 041 711041					Piazzale Roma																																																																																																																																																												
fast_food	SKK Mediterranean Restaurant		4253	San Marco																		burger;kebab;italian_pizza																																																																																																																																																															
